Unnamed: 0,"IC50, mM","CC50, mM",SPS,Kappa2,Kappa3,PEOE_VSA8,SMR_VSA4,EState_VSA5,VSA_EState3,VSA_EState4,VSA_EState8,MolLogP,SI
697,51.207184,954.17114,34.772728,4.6356177,2.0757146,18.026114,5.9179063,0.0,3.3197594,0.30007187,3.6963322,2.1207,18.633541
698,126.051956,913.42,33.826088,4.885838,2.387217,18.026114,5.9179063,0.0,3.340817,1.4311144,5.69405,2.42912,7.246377
699,381.24832,687.96686,33.826088,5.031342,2.4718084,23.048748,5.9179063,0.0,3.8654997,0.18820038,3.643542,2.7741,1.8045113
700,32.00014,979.08673,33.5,4.3770967,1.8249787,12.462663,5.9179063,11.336786,5.2081385,-0.16429941,1.6097364,1.7921,1.1952192
701,151.13185,985.64246,32.52381,4.415343,2.011431,12.462663,5.9179063,0.0,3.1835766,-0.19372585,3.3414743,1.63202,6.521739
702,126.89069,723.7112,26.366667,6.6228247,2.764763,23.589565,5.9179063,16.900238,0.9111862,3.4857466,3.8076506,4.88322,5.703422
703,295.1819,737.9547,27.5,6.10769,2.4481997,18.026114,5.9179063,11.336786,2.952466,1.3608472,1.7621322,4.6363,2.5
704,16.01268,814.20404,28.576923,5.925593,2.3967366,18.026114,5.9179063,11.336786,0.8714177,1.4860313,3.9005811,3.5205,3.0443535
705,56.709015,1269.6049,44.375,2.897369,1.1011162,12.462663,10.910311,0.0,0.89743054,-0.07005527,1.8509259,0.6451,22.38806
706,358.99512,1134.8634,45.555557,3.1956866,1.2640636,12.462663,10.910311,5.5731044,0.8953992,1.1970234,6.1833253,1.4253,3.1612225
707,11.303522,28.032736,28.407408,6.2432613,2.5743845,33.436157,17.753717,0.0,10.055567,1.8544843,0.5297992,4.5159,2.48
708,7.8379426,41.932995,29.290323,6.8680577,2.75077,33.436157,17.250803,22.72816,10.1217,-2.4766433,0.003340892,5.4484,5.35
709,27.814026,198.6385,29.833334,6.3768206,2.3665016,23.045532,17.250803,4.8999095,8.6319,-1.7572405,0.015552484,4.4704,7.141667
710,32.00014,829.0728,26.416666,5.9002633,2.520088,28.04983,11.835813,0.0,2.6286716,1.9201319,2.566902,3.97712,1.4285715
711,302.7275,738.35974,26.416666,6.0060935,2.5764673,27.499916,11.835813,0.0,2.0053365,1.9858252,2.604132,4.08622,2.4390244
712,47.306953,985.5615,11.043478,6.966492,4.0999103,23.861961,0.0,11.126903,7.4231973,5.4726367,4.8978744,5.08374,20.833334
713,294.3939,971.597,11.5,6.872724,3.7115571,22.867052,4.992405,0.0,4.707369,2.6019146,0.0,5.4107,3.30033
714,170.29678,865.91583,16.72,6.9504004,3.3454561,17.10929,0.0,4.877147,5.5348225,2.7253711,0.5698956,4.8555,5.084746
715,74.23855,208.31787,25.75,7.032427,2.606144,17.33981,11.835813,11.336786,11.9992895,2.7747073,0.36181548,3.7337,2.8060606
716,9.879602,9.879602,16.407408,7.8038583,3.8077035,21.986437,0.0,9.754294,3.511674,2.7353578,2.7359889,5.4179,1.0
717,12.483321,832.2214,16.538462,7.581897,3.5547857,17.10929,0.0,10.4405985,5.556236,2.8710842,0.670266,4.898,3.0443535
718,32.00014,891.75305,17.083334,6.3725743,2.858112,10.564533,0.0,0.0,5.460207,1.56549,0.5744005,4.4485,1.0
719,11.613829,290.3457,16.576923,6.921759,3.2629962,12.232142,0.0,0.0,3.4513922,2.641931,2.4492805,4.69542,25.0
720,396.07468,738.02734,16.0,8.362973,3.8785176,17.805246,0.0,0.0,3.6038792,4.5894423,0.4940502,5.9144,1.8633541
721,505.86447,972.8163,31.869566,4.791378,2.1662648,37.181995,5.9179063,11.984273,4.2558746,3.305241,4.9759765,3.17932,1.9230769
722,32.00014,1047.4897,37.25,4.0559764,1.785579,18.15005,5.9179063,0.0,4.112118,0.90496725,4.030229,2.8028,1.8867924
723,32.00014,985.58093,36.095238,4.2720056,2.0666585,18.15005,5.9179063,12.132734,3.8526807,0.5649623,3.8469636,2.9419,1.5
724,32.00014,977.78156,33.55,4.448638,1.9423848,23.172682,5.9179063,0.0,4.7168636,0.8360153,1.8098261,3.0661,1.0989012
725,32.00014,935.0339,36.095238,4.4474916,2.1678743,23.172682,5.9179063,0.0,4.766774,0.78641295,3.9659967,3.4562,1.0
726,120.72144,1031.8071,33.55,4.2353077,1.8279608,23.172682,5.9179063,0.0,3.5642855,0.53876305,1.407096,2.9012,8.5470085
727,268.79553,895.9851,31.40909,5.046203,2.241659,23.048748,5.9179063,0.0,3.8618681,0.34822923,1.5465962,2.384,3.3333333
728,87.54513,902.5271,33.826088,4.8509564,2.3670077,18.026114,5.9179063,24.265469,3.124618,-0.022505928,3.545923,2.2598,10.3092785
729,32.00014,985.64246,36.04762,4.1756845,1.9323109,12.462663,5.9179063,6.263163,3.1589231,-0.34324223,3.6350567,1.7137,1.0
730,32.00014,942.2199,35.0,4.4253836,2.0129366,12.462663,5.9179063,0.0,3.188602,-0.3490805,5.4377155,2.02212,1.0
731,64.28249,768.31665,27.5,5.8965206,2.3445258,18.026114,5.9179063,11.336786,0.8563945,1.103324,1.6941049,4.1678,11.952191
732,312.1456,780.36395,32.142857,6.4286785,2.4838436,31.972998,17.753717,7.047672,9.962424,1.3805687,4.224199,1.4399,2.5
733,32.00014,752.893,31.448277,6.96901,2.7792122,31.470081,17.753717,4.8999095,10.000482,1.3926507,6.335084,1.83,1.0
734,32.00014,671.88043,28.939394,7.8306346,3.1720777,24.925325,17.753717,4.8999095,10.111097,1.8792559,4.2046976,3.0147,1.0
735,219.66333,693.6737,29.28125,7.583484,2.8741362,31.115627,17.753717,4.8999095,10.132444,2.0560448,2.3991396,2.6262,3.1578948
736,69.62057,166.70018,28.17647,8.271232,3.196391,31.115627,17.753717,12.009707,10.255224,1.8826472,2.3394392,2.6348,2.39441
737,32.00014,564.3893,26.421053,8.875153,3.5317638,41.580753,17.753717,35.602253,22.980715,1.2519768,0.23095453,3.7806,1.0
738,32.00014,580.746,26.837837,8.845177,3.4831247,23.760632,17.753717,23.346493,12.054961,1.6463785,0.23508677,3.881,1.0
739,5.7781363,174.16953,29.0,5.742522,2.164474,28.29547,17.753717,0.0,9.785673,3.0485399,0.54201084,3.5379,30.142857
740,97.432846,916.2963,27.0,5.4934106,2.3554676,23.027195,11.835813,0.0,2.00779,2.013945,2.6228364,3.32372,9.404388
741,76.07058,728.76776,20.576923,6.636171,3.0591993,47.25962,5.9179063,5.5634513,3.133477,4.394936,2.6754951,3.60182,9.5801525
742,8.888569,15.13459,11.043478,7.4585195,4.4486547,27.432144,0.0,9.133634,7.4188724,4.2040467,2.8117867,5.37992,1.7027028
743,32.00014,1033.1718,10.954545,6.763855,3.6385725,23.861961,0.0,5.5634513,7.3945427,4.231016,2.8285396,4.77532,1.0
744,32.00014,736.21075,11.5172415,7.638889,3.840909,5.5634513,0.0,10.568379,0.0,2.2172809,3.84846,5.55194,1.0
745,32.00014,625.5787,11.382353,9.605302,4.7682047,5.5634513,0.0,10.371583,0.0,1.9833727,5.491197,5.72864,1.0
746,32.00014,688.85864,11.419354,8.275413,4.176423,5.5634513,0.0,10.371583,0.0,2.0356963,3.6428535,5.36444,1.0
747,60.39727,299.99554,10.8,4.307802,1.9482607,23.762552,0.0,24.265469,28.385464,0.28660432,0.0,2.5768,4.967038
748,43.10108,253.7991,10.909091,4.589938,1.9568672,17.696186,0.0,6.066367,3.4937158,-0.88998866,0.0,1.988,5.8884625
749,6.699422,48.29936,11.037037,9.238837,5.7434025,0.0,0.0,38.504368,19.084873,1.3281099,0.0,3.3699,7.2094812
750,30.198118,299.99686,10.857142,4.4478292,2.0237234,17.696186,0.0,30.331835,3.4937158,-0.49784014,0.0,2.2824,9.93429
751,83.99856,164.89836,10.857142,4.4478292,2.121592,23.762552,0.0,24.265469,3.4937158,-0.10554422,0.0,2.2824,1.9631093
752,72.1982,99.99891,52.424244,6.890065,2.8676784,0.0,5.9179063,18.414747,21.372198,1.6758534,16.945728,7.2336,1.3850609
753,72.268265,99.99891,52.424244,6.890065,2.8676784,0.0,5.9179063,18.414747,21.372198,1.6758534,16.945728,7.2336,1.3837181
754,47.00041,199.9947,60.272728,1.8200897,0.8682518,5.538925,23.487385,38.52493,0.0,6.6211805,0.0,1.9139,4.2551694
755,60.996735,0.7008079,60.272728,1.8200897,0.8682518,5.538925,23.487385,38.52493,0.0,6.6211805,0.0,1.9139,0.011489269
756,11.001362,0.7008079,60.272728,1.8200897,0.8682518,5.538925,23.487385,38.52493,0.0,6.6211805,0.0,1.9139,0.06370192
757,3.3982573,70.00146,60.272728,1.8200897,0.8682518,5.538925,23.487385,38.52493,0.0,6.6211805,0.0,1.9139,20.599222
758,2.0032527,70.00146,60.272728,1.8200897,0.8682518,5.538925,23.487385,38.52493,0.0,6.6211805,0.0,1.9139,34.943893
759,5.097386,70.00146,60.272728,1.8200897,0.8682518,5.538925,23.487385,38.52493,0.0,6.6211805,0.0,1.9139,13.732815
760,52.996944,70.00146,60.272728,1.8200897,0.8682518,5.538925,23.487385,38.52493,0.0,6.6211805,0.0,1.9139,1.3208582
761,26.002619,499.9868,60.272728,1.8200897,0.8682518,5.538925,23.487385,38.52493,0.0,6.6211805,0.0,1.9139,19.228325
762,0.601637,99.99735,60.272728,1.8200897,0.8682518,5.538925,23.487385,38.52493,0.0,6.6211805,0.0,1.9139,3.0443535
763,63.998306,283.9925,60.272728,1.8200897,0.8682518,5.538925,23.487385,38.52493,0.0,6.6211805,0.0,1.9139,4.4375
764,64.19665,284.09167,60.272728,1.8200897,0.8682518,5.538925,23.487385,38.52493,0.0,6.6211805,0.0,1.9139,4.425335
765,2.9012723,100.0007,26.25,7.400293,4.3143406,18.538683,5.7336674,6.923737,11.89188,6.25103,5.426225,0.8069,34.46788
766,1.3996441,100.0007,26.25,7.400293,4.3143406,18.538683,5.7336674,6.923737,11.89188,6.25103,5.426225,0.8069,3.0443535
767,0.20045154,19.999437,26.25,7.400293,4.3143406,18.538683,5.7336674,6.923737,11.89188,6.25103,5.426225,0.8069,3.0443535
768,0.20045154,19.999437,26.25,7.400293,4.3143406,18.538683,5.7336674,6.923737,11.89188,6.25103,5.426225,0.8069,3.0443535
769,0.20045154,19.999437,26.25,7.400293,4.3143406,18.538683,5.7336674,6.923737,11.89188,6.25103,5.426225,0.8069,3.0443535
770,0.20045154,19.999437,26.25,7.400293,4.3143406,18.538683,5.7336674,6.923737,11.89188,6.25103,5.426225,0.8069,3.0443535
771,0.0035166938,19.999437,26.25,7.400293,4.3143406,18.538683,5.7336674,6.923737,11.89188,6.25103,5.426225,0.8069,3.0443535
772,0.21100162,105.50081,26.25,7.400293,4.3143406,18.538683,5.7336674,6.923737,11.89188,6.25103,5.426225,0.8069,3.0443535
773,0.021100162,250.00175,26.25,7.400293,4.3143406,18.538683,5.7336674,6.923737,11.89188,6.25103,5.426225,0.8069,3.0443535
774,0.17935137,100.0007,26.25,7.400293,4.3143406,18.538683,5.7336674,6.923737,11.89188,6.25103,5.426225,0.8069,3.0443535
775,44.0025,200.00223,55.384617,2.5025263,1.0921328,6.041841,28.902376,38.52493,0.0,6.769653,2.2431943,2.55,4.545247
776,28.002096,500.00558,55.384617,2.5025263,1.0921328,6.041841,28.902376,38.52493,0.0,6.769653,2.2431943,2.55,17.856005
777,41.002075,363.00668,55.384617,2.5025263,1.0921328,6.041841,28.902376,38.52493,0.0,6.769653,2.2431943,2.55,8.853374
778,10.997836,61.999466,55.384617,2.5025263,1.0921328,6.041841,28.902376,38.52493,0.0,6.769653,2.2431943,2.55,5.637424
779,67.00203,335.00458,55.384617,2.5025263,1.0921328,6.041841,28.902376,38.52493,0.0,6.769653,2.2431943,2.55,4.9999166
780,68.9986,326.0033,55.384617,2.5025263,1.0921328,6.041841,28.902376,38.52493,0.0,6.769653,2.2431943,2.55,4.724782
781,55.76996,345.77374,55.384617,2.5025263,1.0921328,6.041841,28.902376,38.52493,0.0,6.769653,2.2431943,2.55,6.2
